timestamp_unix,timestamp_utc,timestamp_ist,pm2_5,pm10,temp_c,humidity,co,no,no2,o3,so2,nh3
1755986400,2025-08-23 22:00:00,2025-08-24 03:30:00,16.98,21.32,,,297.41,0.01,13.63,19.32,5.19,9.17
1755990000,2025-08-23 23:00:00,2025-08-24 04:30:00,16.57,20.66,,,292.55,0.01,12.83,17.48,4.76,8.81
1755993600,2025-08-24 00:00:00,2025-08-24 05:30:00,15.9,19.74,,,284.7,0.02,12.14,15.87,4.33,8.41
1755997200,2025-08-24 01:00:00,2025-08-24 06:30:00,14.44,18.08,,,268.42,0.04,11.32,14.87,4.08,7.7
1756000800,2025-08-24 02:00:00,2025-08-24 07:30:00,13.1,16.97,,,260.9,1.51,9.24,15.5,4.24,8.15
1756004400,2025-08-24 03:00:00,2025-08-24 08:30:00,11.82,15.89,,,250.87,3.64,6.58,19.73,4.97,8.45
1756008000,2025-08-24 04:00:00,2025-08-24 09:30:00,11.35,15.05,,,214.23,3.38,6.03,29.18,8.26,6.84
1756011600,2025-08-24 05:00:00,2025-08-24 10:30:00,14.43,18.14,,,196.74,2.57,5.99,43.47,10.44,6.13
1756015200,2025-08-24 06:00:00,2025-08-24 11:30:00,17.95,21.76,,,188.73,1.92,5.94,57.3,11.82,5.89
1756018800,2025-08-24 07:00:00,2025-08-24 12:30:00,14.02,17.06,,,174.12,1.48,5.31,54.74,10.46,4.71
1756022400,2025-08-24 08:00:00,2025-08-24 13:30:00,12.38,15.06,,,175.29,1.24,4.71,54.39,8.39,4.73
1756026000,2025-08-24 09:00:00,2025-08-24 14:30:00,13.84,16.58,,,180.68,0.94,4.37,60.98,7.12,5.24
1756029600,2025-08-24 10:00:00,2025-08-24 15:30:00,16.8,19.86,,,190.83,0.68,4.48,69.26,6.81,6.0
1756033200,2025-08-24 11:00:00,2025-08-24 16:30:00,20.58,24.11,,,205.07,0.53,5.37,74.51,7.29,6.83
1756036800,2025-08-24 12:00:00,2025-08-24 17:30:00,23.55,27.5,,,218.57,0.35,6.99,74.83,7.81,7.25
1756040400,2025-08-24 13:00:00,2025-08-24 18:30:00,24.95,29.38,,,232.94,0.06,9.18,69.92,7.8,7.72
1756044000,2025-08-24 14:00:00,2025-08-24 19:30:00,25.7,31.13,,,264.0,0.0,11.03,63.09,6.98,9.34
1756047600,2025-08-24 15:00:00,2025-08-24 20:30:00,25.76,32.06,,,294.24,0.0,12.13,57.64,6.09,10.54
1756051200,2025-08-24 16:00:00,2025-08-24 21:30:00,25.36,32.28,,,313.48,0.0,12.57,52.79,5.18,10.72
1756054800,2025-08-24 17:00:00,2025-08-24 22:30:00,24.89,32.39,,,330.92,0.01,13.02,48.19,4.65,10.93
1756058400,2025-08-24 18:00:00,2025-08-24 23:30:00,23.97,31.65,,,338.76,0.04,13.54,43.61,4.52,11.03
1756062000,2025-08-24 19:00:00,2025-08-25 00:30:00,22.65,30.02,,,331.97,0.05,13.69,39.45,4.88,10.93
1756065600,2025-08-24 20:00:00,2025-08-25 01:30:00,21.78,28.97,,,330.26,0.04,13.7,35.35,5.28,10.65
1756069200,2025-08-24 21:00:00,2025-08-25 02:30:00,21.09,28.04,,,327.62,0.03,13.37,32.19,5.6,10.33
1756072800,2025-08-24 22:00:00,2025-08-25 03:30:00,20.34,26.92,,,324.91,0.02,12.76,29.6,5.71,10.17
1756076400,2025-08-24 23:00:00,2025-08-25 04:30:00,19.32,25.44,,,324.18,0.01,11.96,27.28,5.36,10.56
1756080000,2025-08-25 00:00:00,2025-08-25 05:30:00,17.64,23.29,,,321.06,0.01,11.25,24.71,4.76,11.36
1756083600,2025-08-25 01:00:00,2025-08-25 06:30:00,14.6,19.73,,,297.76,0.01,10.27,22.75,4.12,11.27
1756087200,2025-08-25 02:00:00,2025-08-25 07:30:00,12.04,17.26,,,289.15,0.55,9.78,20.05,3.8,11.53
1756090800,2025-08-25 03:00:00,2025-08-25 08:30:00,10.02,15.43,,,283.35,2.39,8.04,21.18,3.95,11.31
1756094400,2025-08-25 04:00:00,2025-08-25 09:30:00,9.01,14.2,,,259.22,3.33,6.61,29.04,6.36,9.76
1756098000,2025-08-25 05:00:00,2025-08-25 10:30:00,12.2,17.33,,,243.47,2.72,5.99,46.86,8.56,8.66
1756101600,2025-08-25 06:00:00,2025-08-25 11:30:00,19.69,24.72,,,230.84,1.66,5.0,71.92,10.03,7.7
1756105200,2025-08-25 07:00:00,2025-08-25 12:30:00,16.37,20.02,,,205.37,0.66,3.81,73.3,8.85,5.03
1756108800,2025-08-25 08:00:00,2025-08-25 13:30:00,14.06,17.17,,,201.69,0.44,3.08,73.62,7.39,4.35
1756112400,2025-08-25 09:00:00,2025-08-25 14:30:00,15.08,18.26,,,205.86,0.38,2.89,80.25,6.88,4.71
1756116000,2025-08-25 10:00:00,2025-08-25 15:30:00,17.98,21.71,,,226.85,0.45,3.86,86.48,6.97,6.24
1756119600,2025-08-25 11:00:00,2025-08-25 16:30:00,21.84,26.37,,,258.26,0.51,5.93,88.39,7.41,8.09
1756123200,2025-08-25 12:00:00,2025-08-25 17:30:00,25.97,31.29,,,290.42,0.34,8.88,86.94,7.94,9.52
1756126800,2025-08-25 13:00:00,2025-08-25 18:30:00,30.55,36.92,,,330.89,0.05,12.4,82.29,7.88,11.59
1756130400,2025-08-25 14:00:00,2025-08-25 19:30:00,35.08,42.97,,,374.14,0.0,14.21,78.5,7.44,13.84
1756134000,2025-08-25 15:00:00,2025-08-25 20:30:00,38.92,48.29,,,403.07,0.0,14.62,77.44,7.13,15.79
1756137600,2025-08-25 16:00:00,2025-08-25 21:30:00,41.5,51.56,,,404.67,0.01,13.58,79.0,7.21,16.67
1756141200,2025-08-25 17:00:00,2025-08-25 22:30:00,43.98,54.6,,,412.37,0.01,12.89,77.71,7.09,15.59
1756144800,2025-08-25 18:00:00,2025-08-25 23:30:00,45.39,55.9,,,417.67,0.0,12.73,73.78,6.84,13.61
1756148400,2025-08-25 19:00:00,2025-08-26 00:30:00,43.9,52.8,,,362.81,0.0,11.37,73.07,9.61,9.62
1756152000,2025-08-25 20:00:00,2025-08-26 01:30:00,40.65,49.04,,,342.69,0.0,11.61,66.2,11.24,9.27
1756155600,2025-08-25 21:00:00,2025-08-26 02:30:00,35.64,43.99,,,325.01,0.0,11.4,58.72,11.64,9.59
1756159200,2025-08-25 22:00:00,2025-08-26 03:30:00,30.09,38.56,,,303.47,0.0,10.98,52.29,11.48,9.88
1756162800,2025-08-25 23:00:00,2025-08-26 04:30:00,26.42,34.97,,,291.9,0.0,10.52,47.55,10.56,10.03
1756166400,2025-08-26 00:00:00,2025-08-26 05:30:00,24.67,33.28,,,293.8,0.0,10.47,43.72,9.68,10.23
1756170000,2025-08-26 01:00:00,2025-08-26 06:30:00,23.94,32.68,,,304.86,0.01,11.1,39.64,9.27,10.5
1756173600,2025-08-26 02:00:00,2025-08-26 07:30:00,23.7,32.81,,,327.69,0.64,12.37,35.69,9.91,10.83
1756177200,2025-08-26 03:00:00,2025-08-26 08:30:00,23.32,32.55,,,346.85,2.44,12.72,34.84,11.96,10.81
1756180800,2025-08-26 04:00:00,2025-08-26 09:30:00,14.87,20.36,,,263.6,1.16,10.31,40.53,12.97,5.34
1756184400,2025-08-26 05:00:00,2025-08-26 10:30:00,9.55,12.95,,,237.23,0.69,7.01,46.52,9.83,3.6
1756188000,2025-08-26 06:00:00,2025-08-26 11:30:00,7.69,10.26,,,235.49,0.5,5.58,52.6,8.66,3.21
1756191600,2025-08-26 07:00:00,2025-08-26 12:30:00,7.03,9.09,,,239.74,0.45,4.46,60.36,7.91,2.98
1756195200,2025-08-26 08:00:00,2025-08-26 13:30:00,7.0,8.72,,,241.96,0.41,3.72,67.21,7.39,2.78
1756198800,2025-08-26 09:00:00,2025-08-26 14:30:00,7.08,8.65,,,244.22,0.36,3.52,71.71,7.12,2.71
1756202400,2025-08-26 10:00:00,2025-08-26 15:30:00,7.72,9.57,,,259.79,0.4,4.7,73.5,7.37,3.95
1756206000,2025-08-26 11:00:00,2025-08-26 16:30:00,8.92,11.46,,,283.57,0.45,7.33,71.12,8.21,5.96
1756209600,2025-08-26 12:00:00,2025-08-26 17:30:00,9.91,13.19,,,307.96,0.35,10.92,65.23,8.99,7.61
1756213200,2025-08-26 13:00:00,2025-08-26 18:30:00,11.31,15.55,,,330.46,0.09,14.15,58.86,9.07,9.02
1756216800,2025-08-26 14:00:00,2025-08-26 19:30:00,13.21,18.61,,,354.31,0.03,15.53,54.76,8.7,10.33
1756220400,2025-08-26 15:00:00,2025-08-26 20:30:00,15.07,21.44,,,373.69,0.03,15.99,51.36,8.61,11.08
1756224000,2025-08-26 16:00:00,2025-08-26 21:30:00,16.47,23.12,,,378.03,0.02,15.79,47.65,8.86,10.99
1756227600,2025-08-26 17:00:00,2025-08-26 22:30:00,16.68,23.33,,,382.24,0.02,16.01,42.66,8.97,11.05
1756231200,2025-08-26 18:00:00,2025-08-26 23:30:00,15.42,21.71,,,380.2,0.01,16.52,36.59,8.84,10.95
1756234800,2025-08-26 19:00:00,2025-08-27 00:30:00,13.48,19.11,,,361.63,0.0,16.24,30.29,7.44,10.06
1756238400,2025-08-26 20:00:00,2025-08-27 01:30:00,12.07,17.37,,,347.89,0.0,15.49,24.87,5.67,9.95
1756242000,2025-08-26 21:00:00,2025-08-27 02:30:00,10.76,15.65,,,326.25,0.01,14.05,21.3,4.52,9.88
1756245600,2025-08-26 22:00:00,2025-08-27 03:30:00,9.45,13.92,,,301.28,0.01,12.51,19.01,3.78,9.87
1756249200,2025-08-26 23:00:00,2025-08-27 04:30:00,8.13,12.11,,,272.46,0.01,10.99,17.91,3.33,10.32
1756252800,2025-08-27 00:00:00,2025-08-27 05:30:00,7.0,10.54,,,244.04,0.01,9.69,17.68,3.06,10.68
1756256400,2025-08-27 01:00:00,2025-08-27 06:30:00,5.58,8.44,,,204.28,0.01,8.18,19.54,2.96,8.91
1756260000,2025-08-27 02:00:00,2025-08-27 07:30:00,5.49,8.55,,,207.01,0.42,8.3,18.89,3.07,8.69
