timestamp_unix,timestamp_utc,timestamp_ist,pm2_5,pm10,temp_c,humidity,co,no,no2,o3,so2,nh3,AQI_PM25,AQI_PM10,AQI,AQI_Category
1755986400,2025-08-23 22:00:00,2025-08-24 03:30:00,16.98,21.32,,,297.41,0.01,13.63,19.32,5.19,6.795,28.3,21.32,28.3,Good
1755990000,2025-08-23 23:00:00,2025-08-24 04:30:00,16.57,20.66,,,292.55,0.01,12.83,17.48,4.76,6.795,27.616666666666667,20.66,27.616666666666667,Good
1755993600,2025-08-24 00:00:00,2025-08-24 05:30:00,15.9,19.74,,,284.7,0.02,12.14,15.87,4.33,6.795,26.5,19.74,26.5,Good
1755997200,2025-08-24 01:00:00,2025-08-24 06:30:00,14.44,18.08,,,268.42,0.04,11.32,14.87,4.08,6.795,24.066666666666666,18.08,24.066666666666666,Good
1756000800,2025-08-24 02:00:00,2025-08-24 07:30:00,13.1,16.97,,,260.9,0.95,9.24,15.5,4.24,6.795,21.833333333333332,16.97,21.833333333333332,Good
1756004400,2025-08-24 03:00:00,2025-08-24 08:30:00,11.82,15.89,,,250.87,0.95,6.58,19.73,4.97,6.795,19.700000000000003,15.89,19.700000000000003,Good
1756008000,2025-08-24 04:00:00,2025-08-24 09:30:00,11.35,15.05,,,214.23,0.95,6.03,29.18,8.26,6.795,18.916666666666668,15.05,18.916666666666668,Good
1756011600,2025-08-24 05:00:00,2025-08-24 10:30:00,14.43,18.14,,,196.74,0.95,5.99,43.47,10.44,6.13,24.05,18.14,24.05,Good
1756015200,2025-08-24 06:00:00,2025-08-24 11:30:00,17.95,21.76,,,188.73,0.95,5.94,57.3,11.82,5.89,29.916666666666668,21.76,29.916666666666668,Good
1756018800,2025-08-24 07:00:00,2025-08-24 12:30:00,14.02,17.06,,,174.12,0.95,5.31,54.74,10.46,4.71,23.366666666666667,17.06,23.366666666666667,Good
1756022400,2025-08-24 08:00:00,2025-08-24 13:30:00,12.38,15.06,,,175.29,0.95,4.71,54.39,8.39,4.73,20.633333333333336,15.06,20.633333333333336,Good
1756026000,2025-08-24 09:00:00,2025-08-24 14:30:00,13.84,16.58,,,180.68,0.94,4.37,60.98,7.12,5.24,23.066666666666666,16.58,23.066666666666666,Good
1756029600,2025-08-24 10:00:00,2025-08-24 15:30:00,16.8,19.86,,,190.83,0.68,4.48,69.26,6.81,6.0,28.000000000000004,19.86,28.000000000000004,Good
1756033200,2025-08-24 11:00:00,2025-08-24 16:30:00,20.58,24.11,,,205.07,0.53,5.37,74.51,7.29,6.795,34.3,24.11,34.3,Good
1756036800,2025-08-24 12:00:00,2025-08-24 17:30:00,23.55,27.5,,,218.57,0.35,6.99,74.83,7.81,6.795,39.25,27.5,39.25,Good
1756040400,2025-08-24 13:00:00,2025-08-24 18:30:00,24.95,29.38,,,232.94,0.06,9.18,69.92,7.8,6.795,41.583333333333336,29.38,41.583333333333336,Good
1756044000,2025-08-24 14:00:00,2025-08-24 19:30:00,25.7,31.13,,,264.0,0.0,11.03,63.09,6.98,6.795,42.833333333333336,31.13,42.833333333333336,Good
1756047600,2025-08-24 15:00:00,2025-08-24 20:30:00,25.76,32.06,,,294.24,0.0,12.13,57.64,6.09,6.795,42.93333333333334,32.06,42.93333333333334,Good
1756051200,2025-08-24 16:00:00,2025-08-24 21:30:00,25.36,32.28,,,313.48,0.0,12.57,52.79,5.18,6.795,42.266666666666666,32.28,42.266666666666666,Good
1756054800,2025-08-24 17:00:00,2025-08-24 22:30:00,24.89,32.39,,,330.92,0.01,13.02,48.19,4.65,6.795,41.483333333333334,32.39,41.483333333333334,Good
1756058400,2025-08-24 18:00:00,2025-08-24 23:30:00,23.97,31.65,,,338.76,0.04,13.54,43.61,4.52,6.795,39.95,31.65,39.95,Good
1756062000,2025-08-24 19:00:00,2025-08-25 00:30:00,22.65,30.02,,,331.97,0.05,13.69,39.45,4.88,6.795,37.75,30.02,37.75,Good
1756065600,2025-08-24 20:00:00,2025-08-25 01:30:00,21.78,28.97,,,330.26,0.04,13.7,35.35,5.28,6.795,36.300000000000004,28.97,36.300000000000004,Good
1756069200,2025-08-24 21:00:00,2025-08-25 02:30:00,21.09,28.04,,,327.62,0.03,13.37,32.19,5.6,6.795,35.15,28.04,35.15,Good
1756072800,2025-08-24 22:00:00,2025-08-25 03:30:00,20.34,26.92,,,324.91,0.02,12.76,29.6,5.71,6.795,33.9,26.92,33.9,Good
1756076400,2025-08-24 23:00:00,2025-08-25 04:30:00,19.32,25.44,,,324.18,0.01,11.96,27.28,5.36,6.795,32.2,25.44,32.2,Good
1756080000,2025-08-25 00:00:00,2025-08-25 05:30:00,17.64,23.29,,,321.06,0.01,11.25,24.71,4.76,6.795,29.400000000000002,23.29,29.400000000000002,Good
1756083600,2025-08-25 01:00:00,2025-08-25 06:30:00,14.6,19.73,,,297.76,0.01,10.27,22.75,4.12,6.795,24.333333333333332,19.73,24.333333333333332,Good
1756087200,2025-08-25 02:00:00,2025-08-25 07:30:00,12.04,17.26,,,289.15,0.55,9.78,20.05,3.8,6.795,20.066666666666666,17.26,20.066666666666666,Good
1756090800,2025-08-25 03:00:00,2025-08-25 08:30:00,10.02,15.43,,,283.35,0.95,8.04,21.18,3.95,6.795,16.7,15.43,16.7,Good
1756094400,2025-08-25 04:00:00,2025-08-25 09:30:00,9.01,14.2,,,259.22,0.95,6.61,29.04,6.36,6.795,15.016666666666667,14.2,15.016666666666667,Good
1756098000,2025-08-25 05:00:00,2025-08-25 10:30:00,12.2,17.33,,,243.47,0.95,5.99,46.86,8.56,6.795,20.333333333333332,17.33,20.333333333333332,Good
1756101600,2025-08-25 06:00:00,2025-08-25 11:30:00,19.69,24.72,,,230.84,0.95,5.0,71.92,10.03,6.795,32.81666666666667,24.72,32.81666666666667,Good
1756105200,2025-08-25 07:00:00,2025-08-25 12:30:00,16.37,20.02,,,205.37,0.66,3.81,73.3,8.85,5.03,27.283333333333335,20.02,27.283333333333335,Good
1756108800,2025-08-25 08:00:00,2025-08-25 13:30:00,14.06,17.17,,,201.69,0.44,3.08,73.62,7.39,4.35,23.433333333333334,17.17,23.433333333333334,Good
1756112400,2025-08-25 09:00:00,2025-08-25 14:30:00,15.08,18.26,,,205.86,0.38,2.89,80.25,6.88,4.71,25.133333333333333,18.26,25.133333333333333,Good
1756116000,2025-08-25 10:00:00,2025-08-25 15:30:00,17.98,21.71,,,226.85,0.45,3.86,86.48,6.97,6.24,29.96666666666667,21.71,29.96666666666667,Good
1756119600,2025-08-25 11:00:00,2025-08-25 16:30:00,21.84,26.37,,,258.26,0.51,5.93,88.39,7.41,6.795,36.4,26.37,36.4,Good
1756123200,2025-08-25 12:00:00,2025-08-25 17:30:00,25.97,31.29,,,290.42,0.34,8.88,86.94,7.94,6.795,43.28333333333333,31.29,43.28333333333333,Good
1756126800,2025-08-25 13:00:00,2025-08-25 18:30:00,30.55,36.92,,,330.89,0.05,12.4,82.29,7.88,6.795,,36.92,36.92,Good
1756130400,2025-08-25 14:00:00,2025-08-25 19:30:00,35.08,42.97,,,374.14,0.0,14.21,78.5,7.44,6.795,57.893793103448274,42.97,57.893793103448274,Satisfactory
1756134000,2025-08-25 15:00:00,2025-08-25 20:30:00,38.92,48.29,,,403.07,0.0,14.62,77.44,7.13,6.795,64.38206896551725,48.29,64.38206896551725,Satisfactory
1756137600,2025-08-25 16:00:00,2025-08-25 21:30:00,41.5,51.56,,,404.67,0.01,13.58,79.0,7.21,6.795,68.74137931034483,51.56,68.74137931034483,Satisfactory
1756141200,2025-08-25 17:00:00,2025-08-25 22:30:00,43.98,54.6,,,412.37,0.01,12.89,77.71,7.09,6.795,72.93172413793103,54.6,72.93172413793103,Satisfactory
1756144800,2025-08-25 18:00:00,2025-08-25 23:30:00,45.39,55.9,,,417.67,0.0,12.73,73.78,6.84,6.795,75.31413793103448,55.9,75.31413793103448,Satisfactory
1756148400,2025-08-25 19:00:00,2025-08-26 00:30:00,43.9,52.8,,,362.81,0.0,11.37,73.07,9.61,6.795,72.79655172413793,52.8,72.79655172413793,Satisfactory
1756152000,2025-08-25 20:00:00,2025-08-26 01:30:00,40.65,49.04,,,342.69,0.0,11.61,66.2,11.24,6.795,67.3051724137931,49.04,67.3051724137931,Satisfactory
1756155600,2025-08-25 21:00:00,2025-08-26 02:30:00,35.64,43.99,,,325.01,0.0,11.4,58.72,11.64,6.795,58.84,43.99,58.84,Satisfactory
1756159200,2025-08-25 22:00:00,2025-08-26 03:30:00,30.09,38.56,,,303.47,0.0,10.98,52.29,11.48,6.795,,38.56,38.56,Good
1756162800,2025-08-25 23:00:00,2025-08-26 04:30:00,26.42,34.97,,,291.9,0.0,10.52,47.55,10.56,6.795,44.03333333333334,34.97,44.03333333333334,Good
1756166400,2025-08-26 00:00:00,2025-08-26 05:30:00,24.67,33.28,,,293.8,0.0,10.47,43.72,9.68,6.795,41.116666666666674,33.28,41.116666666666674,Good
1756170000,2025-08-26 01:00:00,2025-08-26 06:30:00,23.94,32.68,,,304.86,0.01,11.1,39.64,9.27,6.795,39.900000000000006,32.68,39.900000000000006,Good
1756173600,2025-08-26 02:00:00,2025-08-26 07:30:00,23.7,32.81,,,327.69,0.64,12.37,35.69,9.91,6.795,39.5,32.81,39.5,Good
1756177200,2025-08-26 03:00:00,2025-08-26 08:30:00,23.32,32.55,,,346.85,0.95,12.72,34.84,11.96,6.795,38.86666666666667,32.55,38.86666666666667,Good
1756180800,2025-08-26 04:00:00,2025-08-26 09:30:00,14.87,20.36,,,263.6,0.95,10.31,40.53,12.97,5.34,24.78333333333333,20.36,24.78333333333333,Good
1756184400,2025-08-26 05:00:00,2025-08-26 10:30:00,9.55,12.95,,,237.23,0.69,7.01,46.52,9.83,3.6,15.916666666666668,12.95,15.916666666666668,Good
1756188000,2025-08-26 06:00:00,2025-08-26 11:30:00,7.69,10.26,,,235.49,0.5,5.58,52.6,8.66,3.21,12.816666666666668,10.26,12.816666666666668,Good
1756191600,2025-08-26 07:00:00,2025-08-26 12:30:00,7.03,9.09,,,239.74,0.45,4.46,60.36,7.91,2.98,11.716666666666667,9.09,11.716666666666667,Good
1756195200,2025-08-26 08:00:00,2025-08-26 13:30:00,7.0,8.72,,,241.96,0.41,3.72,67.21,7.39,2.78,11.666666666666668,8.72,11.666666666666668,Good
1756198800,2025-08-26 09:00:00,2025-08-26 14:30:00,7.08,8.65,,,244.22,0.36,3.52,71.71,7.12,2.71,11.8,8.65,11.8,Good
1756202400,2025-08-26 10:00:00,2025-08-26 15:30:00,7.72,9.57,,,259.79,0.4,4.7,73.5,7.37,3.95,12.866666666666667,9.57,12.866666666666667,Good
1756206000,2025-08-26 11:00:00,2025-08-26 16:30:00,8.92,11.46,,,283.57,0.45,7.33,71.12,8.21,5.96,14.866666666666667,11.46,14.866666666666667,Good
1756209600,2025-08-26 12:00:00,2025-08-26 17:30:00,9.91,13.19,,,307.96,0.35,10.92,65.23,8.99,6.795,16.51666666666667,13.19,16.51666666666667,Good
1756213200,2025-08-26 13:00:00,2025-08-26 18:30:00,11.31,15.55,,,330.46,0.09,14.15,58.86,9.07,6.795,18.85,15.55,18.85,Good
1756216800,2025-08-26 14:00:00,2025-08-26 19:30:00,13.21,18.61,,,354.31,0.03,15.53,54.76,8.7,6.795,22.01666666666667,18.61,22.01666666666667,Good
1756220400,2025-08-26 15:00:00,2025-08-26 20:30:00,15.07,21.44,,,373.69,0.03,15.99,51.36,8.61,6.795,25.116666666666667,21.44,25.116666666666667,Good
1756224000,2025-08-26 16:00:00,2025-08-26 21:30:00,16.47,23.12,,,378.03,0.02,15.79,47.65,8.86,6.795,27.45,23.12,27.45,Good
1756227600,2025-08-26 17:00:00,2025-08-26 22:30:00,16.68,23.33,,,382.24,0.02,16.01,42.66,8.97,6.795,27.8,23.33,27.8,Good
1756231200,2025-08-26 18:00:00,2025-08-26 23:30:00,15.42,21.71,,,380.2,0.01,16.52,36.59,8.84,6.795,25.7,21.71,25.7,Good
1756234800,2025-08-26 19:00:00,2025-08-27 00:30:00,13.48,19.11,,,361.63,0.0,16.24,30.29,7.44,6.795,22.46666666666667,19.11,22.46666666666667,Good
1756238400,2025-08-26 20:00:00,2025-08-27 01:30:00,12.07,17.37,,,347.89,0.0,15.49,24.87,5.67,6.795,20.116666666666667,17.37,20.116666666666667,Good
